Employer,Registration_Date,Client_Current_Age,Parent_on_Enrolment,Gender,Ethnic_Origin,Has_Disability,Disability_details,Religion,Sexuality,Highest_Level_of_Education,Claiming_Benefits,Benefits,WARD_NAME
No Outcome,30-06-2021,50,Blanks,Male,(E) Other Ethnic Group - Latin American,Blanks,NULL,Other religion,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,31-07-2021,52,Blanks,Female,(A) White - British,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Cockfosters
No Outcome,09-03-2021,37,Blanks,Male,(A) White - Greek/ Greek Cypriot,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Ann's
No Outcome,15-04-2020,58,Yes,Female,(E) Other Ethnic Groups - Prefer not to say,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),St Ann's
No Outcome,03-03-2020,48,Yes,Female,(E) Other Ethnic Groups - Prefer not to say,No,NULL,Blanks,Blanks,ISCED Level 0 (Early childhood education),Yes,Other benefit,St Mary's
No Outcome,11-03-2021,23,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,19-05-2021,31,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,11-05-2021,20,Blanks,Male,(A) White - Any other White background,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,St Mary's
No Outcome,23-12-2020,22,No,Male,(E) Other Ethnic Groups - Arab,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,St Mary's
No Outcome,09-08-2019,43,No,Male,(E) Other Ethnic Groups - Latin American,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,St Mary's
No Outcome,26-03-2020,25,No,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Canonbury
The Millar Practice,11-07-2019,55,Yes,Female,(A) White - British,Yes,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Canonbury
No Outcome,05-03-2021,28,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Bisexual,Blanks,Blanks,NULL,Canonbury
No Outcome,25-02-2021,34,Blanks,Male,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Canonbury
No Outcome,01-03-2021,34,Blanks,Male,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Canonbury
No Outcome,14-10-2019,41,No,Male,(D) Black or Black British - Eritrean,No,NULL,Christian,Heterosexual,ISCED Level 7 (Master's or equivalent level),No,Not in receipt of benefits,Canonbury
Priscilla Wakefield House,29-01-2021,28,Yes,Female,(D) Black or Black British - Eritrean,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Canonbury
No Outcome,18-03-2021,28,Blanks,Female,(D) Black or Black British - Eritrean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Canonbury
No Outcome,26-03-2020,35,Yes,Female,(D) Black or Black British - Caribbean,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Canonbury
No Outcome,10-05-2021,35,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Canonbury
No Outcome,31-03-2021,35,Blanks,Female,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,Muslim,Other sexuality,Blanks,Blanks,NULL,Canonbury
No Outcome,07-06-2019,61,No,Female,(A) White - Any other White background,Yes,NULL,Prefer not to say religion,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Personal independence payment (PI),Canonbury
No Outcome,26-11-2018,53,No,Male,(A) White - British,No,NULL,Other religion,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Job seekers allowance (JSA),Bunhill
No Outcome,02-06-2021,21,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Bisexual,Blanks,Blanks,NULL,Bunhill
No Outcome,02-03-2021,44,Blanks,Male,(E) Other Ethnic Group - Latin American,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
Berkeley Homes (North East London),18-04-2018,21,Blanks,Male,(D) Black or Black British - Any other Black background,No,NULL,Christian,Heterosexual,Blanks,No,Not in receipt of benefits,Bunhill
No Outcome,05-03-2021,43,Blanks,Female,(A) White - Kurdish,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Bunhill
Tone & Sculpt Fitness App,11-09-2020,26,No,Female,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Job seekers allowance (JSA),Bunhill
No Outcome,30-11-2018,48,Yes,Female,(D) Black or Black British - Caribbean,Yes,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Bunhill
No Outcome,14-02-2018,41,Yes,Female,(C) Asian or Asian British - Any other Asian background,Blanks,NULL,Prefer not to say religion,Heterosexual,ISCED Level 3 (Upper secondary education),Blanks,"Housing Benefit, Months on benefits",Bunhill
No Outcome,20-05-2021,29,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Bunhill
No Outcome,09-02-2021,31,Yes,Female,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Blanks,Not in receipt of benefits,Bunhill
No Outcome,23-03-2021,52,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Bunhill
No Outcome,09-02-2021,28,Yes,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Job seekers allowance (JSA),Bunhill
No Outcome,16-04-2021,28,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,24-05-2021,32,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,23-07-2021,36,Yes,Female,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,Blanks,Yes,Job seekers allowance (JSA),Bunhill
No Outcome,24-07-2021,46,Blanks,Female,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,03-08-2021,55,Blanks,Male,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
London Borough Of Islington,30-01-2020,50,Yes,Female,(A) White - Any other White background,Prefer not to say,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Prefer not to disclose benefits,Bunhill
No Outcome,22-01-2018,27,Yes,Female,(A) White - British,No,NULL,No religion / atheist,No response to sexuality,ISCED Level 2 (Lower secondary education),Blanks,"Income support (IS), Other benefit, Housing Benefit, Months on benefits",Highbury East
No Outcome,11-09-2019,22,No,Male,(D) Black or Black British - Caribbean,No,NULL,Muslim,Heterosexual,ISCED Level 5 (Short cycle tertiary education),No,Not in receipt of benefits,Highbury East
No Outcome,10-07-2021,27,Blanks,Male,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,03-01-2018,59,Yes,Male,(D) Black or Black British - Nigerian,Blanks,NULL,Christian,Heterosexual,ISCED Level 7 (Master's or equivalent level),Blanks,"Job seekers allowance (JSA), Months on benefits",Highbury East
No Outcome,30-08-2018,52,Yes,Male,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,Job seekers allowance (JSA),Highbury East
No Outcome,29-11-2018,53,Yes,Male,(A) White - British,Yes,NULL,Prefer not to say religion,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Job seekers allowance (JSA),Highbury East
No Outcome,19-05-2021,53,Blanks,Male,(B) Mixed - Any other Mixed background,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Highbury East
No Outcome,28-07-2021,56,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,06-10-2020,21,No,Male,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Mildmay
No Outcome,25-03-2021,47,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Other religion,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,01-07-2021,25,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Bruce Grove
No Outcome,09-10-2019,56,Yes,Male,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),West Green
No Outcome,21-01-2021,26,No,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Bruce Grove
Forest Healthcare,03-11-2020,23,No,Female,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Northumberland Park
No Outcome,12-03-2020,43,Yes,Male,(D) Black or Black British - Caribbean,No,NULL,Muslim,Heterosexual,Blanks,Yes,Universal credit (UC),Tottenham Hale
No Outcome,16-06-2021,18,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Edmonton Green
No Outcome,19-06-2020,40,Yes,Female,(A) White - Any other White background,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,"Income support (IS), Other benefit",Hillrise
No Outcome,13-04-2018,52,Yes,Female,(B) Mixed - White and Black Caribbean,Prefer not to say,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Other benefit,Canonbury
No Outcome,08-03-2019,18,No,Male,(B) Mixed - White and Black Caribbean,No,NULL,Prefer not to say religion,No response to sexuality,Blanks,No,Not in receipt of benefits,Canonbury
No Outcome,05-05-2021,38,Blanks,Male,(B) Mixed - Any other Mixed background,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Canonbury
No Outcome,04-06-2021,19,No,Male,(A) White - British,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Canonbury
No Outcome,30-07-2020,18,No,Male,(A) White - British,No,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 1 (Primary education),No,Not in receipt of benefits,Canonbury
No Outcome,02-08-2021,18,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Canonbury
North Islington Children's Centre,21-09-2018,58,Yes,Female,(B) Mixed - Any other Mixed background,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Canonbury
No Outcome,04-06-2021,26,No,Female,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 1 (Primary education),Yes,"Job seekers allowance (JSA), Carers allowance",Canonbury
No Outcome,21-06-2021,29,Blanks,Male,(D) Black or Black British - Other African,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Canonbury
No Outcome,19-11-2018,52,No,Female,(D) Black or Black British - Other African,Yes,NULL,Prefer not to say religion,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,"Personal independence payment (PI), Employment support allowance (ESA)",Canonbury
Get Hiro,19-10-2020,26,Yes,Female,(E) Other Ethnic Groups - Arab,No,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Canonbury
No Outcome,12-02-2020,20,No,Female,(A) White - Any other White background,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Canonbury
No Outcome,17-03-2021,23,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Bisexual,Blanks,Blanks,NULL,Canonbury
No Outcome,10-08-2021,18,Blanks,Female,(D) Black or Black British - Somali,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Canonbury
No Outcome,09-07-2019,19,Blanks,Female,(A) White - Kurdish,Yes,NULL,Prefer not to say religion,Heterosexual,ISCED Level 1 (Primary education),Yes,Personal independence payment (PI),St Mary's
No Outcome,29-11-2018,22,No,Male,(D) Black or Black British - Nigerian,No,NULL,Prefer not to say religion,No response to sexuality,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,St Mary's
No Outcome,27-03-2021,21,Blanks,Male,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,10-07-2019,61,No,Female,(A) White - British,Yes,NULL,Other religion,Heterosexual,ISCED Level 1 (Primary education),Yes,"Job seekers allowance (JSA), Other benefit",St Mary's
No Outcome,30-03-2021,35,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,21-11-2019,30,No,Female,(A) White - Any other White background,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),St Mary's
No Outcome,08-01-2019,39,Yes,Female,(A) White - Any other White background,No,NULL,Other religion,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,St Mary's
No Outcome,06-03-2021,30,Blanks,Female,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Barnsbury
No Outcome,13-03-2021,44,Blanks,Male,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Barnsbury
No Outcome,20-05-2021,23,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,06-04-2021,57,Blanks,Female,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,Muslim,Bisexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,07-12-2018,23,No,Male,(D) Black or Black British - Caribbean,No,NULL,Other religion,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Job seekers allowance (JSA),St Mary's
Caterlink,10-07-2018,29,Yes,Female,(A) White - British,Prefer not to say,NULL,Christian,Prefer not to say sexuality,ISCED Level 2 (Lower secondary education),Blanks,Prefer not to disclose benefits,St Mary's
No Outcome,29-07-2021,40,Blanks,Male,(D) Black or Black British - Other African,Blanks,NULL,Christian,Prefer not to say sexuality,Blanks,Blanks,NULL,St Mary's
No Outcome,08-04-2019,47,Yes,Male,(A) White - Irish,No,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 2 (Lower secondary education),Yes,"Universal credit (UC), Other benefit",Barnsbury
No Outcome,12-08-2021,25,No,Male,(A) White - Turkish/ Turkish Cypriot,Yes,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Barnsbury
No Outcome,04-07-2021,28,Blanks,Prefer not to say,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Barnsbury
No Outcome,21-06-2021,23,Blanks,Female,(A) White - Greek/ Greek Cypriot,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,21-06-2021,23,Blanks,Female,(A) White - Greek/ Greek Cypriot,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,04-12-2020,58,Yes,Female,(A) White - Greek/ Greek Cypriot,No,NULL,Christian,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Barnsbury
No Outcome,18-06-2021,58,Blanks,Female,(A) White - Greek/ Greek Cypriot,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,21-05-2019,34,Yes,Female,(C) Asian or Asian British - Any other Asian background,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Barnsbury
No Outcome,26-02-2021,38,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,11-05-2018,55,Blanks,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Prefer not to say sexuality,Blanks,Yes,Income support (IS),Hillrise
No Outcome,21-06-2021,56,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,02-06-2021,60,Blanks,Male,(A) White - Irish,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,14-07-2020,34,Yes,Male,(D) Black or Black British - Caribbean,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Hillrise
Mihomecare,22-06-2018,47,Yes,Male,(D) Black or Black British - Eritrean,No,NULL,Christian,Bisexual,ISCED Level 2 (Lower secondary education),Yes,"Job seekers allowance (JSA), Months on benefits",Hillrise
No Outcome,14-04-2021,18,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,27-02-2020,53,Yes,Female,(E) Other Ethnic Groups - Latin American,Yes,NULL,Christian,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,Job seekers allowance (JSA),Hillrise
No Outcome,01-03-2021,30,Blanks,Female,(E) Other Ethnic Group - Arab,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,10-05-2021,35,Yes,Female,(A) White - Any other White background,No,NULL,Christian,Heterosexual,Blanks,Yes,Universal credit (UC),Hillrise
No Outcome,19-03-2021,52,Blanks,Male,(A) White - Irish,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,02-06-2021,47,Blanks,Male,(E) Other Ethnic Group - Arab,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Hillrise
No Outcome,03-04-2018,121,Yes,Female,Not Known,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,"Income support (IS), Housing Benefit, Months on benefits",Hillrise
No Outcome,11-06-2021,44,Blanks,Female,(D) Black or Black British - Somali,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Hillrise
London Care,10-10-2019,44,Yes,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 1 (Primary education),Yes,Other benefit,Hillrise
No Outcome,27-03-2021,19,Blanks,Female,(A) White - British,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,Hillrise
